	0	1	2	3
238	COG0225		O	Posttranslational modification, protein turnover, chaperones
239	COG0226		P	Inorganic ion transport and metabolism
240	COG0227	Ribosome 50S subunit	J	Translation, ribosomal structure and biogenesis
241	COG0228	Ribosome 30S subunit	J	Translation, ribosomal structure and biogenesis
242	COG0229		O	Posttranslational modification, protein turnover, chaperones
243	COG0230	Ribosome 50S subunit	J	Translation, ribosomal structure and biogenesis
244	COG0231	Translation factors	J	Translation, ribosomal structure and biogenesis
245	COG0232		F	Nucleotide transport and metabolism
246	COG0233		J	Translation, ribosomal structure and biogenesis
247	COG0234		O	Posttranslational modification, protein turnover, chaperones
248	COG0235	Urea cycle	E	Amino acid transport and metabolism
249	COG0235	Urea cycle	G	Carbohydrate transport and metabolism
250	COG0236	Fatty acid biosynthesis	I	Lipid transport and metabolism
251	COG0237	Pantothenate/CoA biosynthesis	H	Coenzyme transport and metabolism
252	COG0238	Ribosome 30S subunit	J	Translation, ribosomal structure and biogenesis
253	COG0239		D	Cell cycle control, cell division, chromosome partitioning
254	COG0239		P	Inorganic ion transport and metabolism
255	COG0240	Isoprenoid biosynthesis	C	Energy production and conversion
256	COG0241	Histidine biosynthesis	E	Amino acid transport and metabolism
257	COG0242		J	Translation, ribosomal structure and biogenesis
258	COG0243		C	Energy production and conversion
259	COG0244	Ribosome 50S subunit	J	Translation, ribosomal structure and biogenesis
260	COG0245	Isoprenoid biosynthesis	I	Lipid transport and metabolism
261	COG0246		G	Carbohydrate transport and metabolism
262	COG0247		C	Energy production and conversion
263	COG0248		F	Nucleotide transport and metabolism
264	COG0248		T	Signal transduction mechanisms
265	COG0249		L	Replication, recombination and repair
266	COG0250		K	Transcription
267	COG0251	Pyrimidine degradation	V	Defense mechanisms
268	COG0252		J	Translation, ribosomal structure and biogenesis
269	COG0252		E	Amino acid transport and metabolism
270	COG0253	Lysine biosynthesis	E	Amino acid transport and metabolism
271	COG0254	Ribosome 50S subunit	J	Translation, ribosomal structure and biogenesis
272	COG0255	Ribosome 50S subunit	J	Translation, ribosomal structure and biogenesis
273	COG0256	Ribosome 50S subunit	J	Translation, ribosomal structure and biogenesis
274	COG0257	Ribosome 50S subunit	J	Translation, ribosomal structure and biogenesis
275	COG0258		L	Replication, recombination and repair
276	COG0259	Pyridoxal phosphate biosynthesis	H	Coenzyme transport and metabolism
277	COG0260		E	Amino acid transport and metabolism
278	COG0261	Ribosome 50S subunit	J	Translation, ribosomal structure and biogenesis
279	COG0262	Folate biosynthesis	H	Coenzyme transport and metabolism
280	COG0263	Proline biosynthesis	E	Amino acid transport and metabolism
281	COG0264	Translation factors	J	Translation, ribosomal structure and biogenesis
282	COG0265		O	Posttranslational modification, protein turnover, chaperones
283	COG0266		L	Replication, recombination and repair
284	COG0267	Ribosome 50S subunit	J	Translation, ribosomal structure and biogenesis
285	COG0268	Ribosome 30S subunit	J	Translation, ribosomal structure and biogenesis
286	COG0269		G	Carbohydrate transport and metabolism
287	COG0270		L	Replication, recombination and repair
288	COG0271		K	Transcription
289	COG0271		T	Signal transduction mechanisms
290	COG0272		L	Replication, recombination and repair
291	COG0274		F	Nucleotide transport and metabolism
292	COG0275	16S rRNA modification	J	Translation, ribosomal structure and biogenesis
293	COG0276	Heme biosynthesis	H	Coenzyme transport and metabolism
294	COG0277		C	Energy production and conversion
295	COG0278		O	Posttranslational modification, protein turnover, chaperones
296	COG0279		G	Carbohydrate transport and metabolism
297	COG0280		C	Energy production and conversion
298	COG0281	Urea cycle	C	Energy production and conversion
299	COG0282		C	Energy production and conversion
300	COG0283		F	Nucleotide transport and metabolism
301	COG0284	Pyrimidine biosynthesis	F	Nucleotide transport and metabolism
302	COG0285	Folate biosynthesis	H	Coenzyme transport and metabolism
303	COG0286		V	Defense mechanisms
304	COG0287	Aromatic amino acid biosynthesis	E	Amino acid transport and metabolism
305	COG0288		P	Inorganic ion transport and metabolism
306	COG0289	Lysine biosynthesis	E	Amino acid transport and metabolism
307	COG0290	Translation factors	J	Translation, ribosomal structure and biogenesis
308	COG0291	Ribosome 50S subunit	J	Translation, ribosomal structure and biogenesis
309	COG0292	Ribosome 50S subunit	J	Translation, ribosomal structure and biogenesis
310	COG0293	23S rRNA modification	J	Translation, ribosomal structure and biogenesis
311	COG0294	Folate biosynthesis	H	Coenzyme transport and metabolism
312	COG0295	Pyrimidine salvage	F	Nucleotide transport and metabolism
313	COG0296		G	Carbohydrate transport and metabolism
314	COG0297		G	Carbohydrate transport and metabolism
315	COG0298		O	Posttranslational modification, protein turnover, chaperones
316	COG0299	Purine biosynthesis	F	Nucleotide transport and metabolism
317	COG0300		R	General function prediction only
318	COG0301	Thiamine biosynthesis	H	Coenzyme transport and metabolism
319	COG0301	Thiamine biosynthesis	J	Translation, ribosomal structure and biogenesis
320	COG0302	Folate biosynthesis	H	Coenzyme transport and metabolism
321	COG0303	Molybdopterin biosynthesis	H	Coenzyme transport and metabolism
322	COG0304	Fatty acid biosynthesis	I	Lipid transport and metabolism
323	COG0304	Fatty acid biosynthesis	Q	Secondary metabolites biosynthesis, transport and catabolism
324	COG0305		L	Replication, recombination and repair
325	COG0306		P	Inorganic ion transport and metabolism
326	COG0307	Riboflavin/FAD biosynthesis	H	Coenzyme transport and metabolism
327	COG0308		E	Amino acid transport and metabolism
328	COG0309		O	Posttranslational modification, protein turnover, chaperones
329	COG0310		P	Inorganic ion transport and metabolism
330	COG0311	Pyridoxal phosphate biosynthesis	H	Coenzyme transport and metabolism
331	COG0312		R	General function prediction only
332	COG0313	16S rRNA modification	J	Translation, ribosomal structure and biogenesis
333	COG0314	Molybdopterin biosynthesis	H	Coenzyme transport and metabolism
334	COG0315	Molybdopterin biosynthesis	H	Coenzyme transport and metabolism
335	COG0316		O	Posttranslational modification, protein turnover, chaperones
336	COG0317		T	Signal transduction mechanisms
337	COG0317		K	Transcription
338	COG0318	Menaquinone biosynthesis	I	Lipid transport and metabolism
339	COG0319	16S rRNA modification	J	Translation, ribosomal structure and biogenesis
340	COG0320	Lipoate biosynthesis	H	Coenzyme transport and metabolism
341	COG0321	Lipoate biosynthesis	H	Coenzyme transport and metabolism
342	COG0322		L	Replication, recombination and repair
343	COG0323		L	Replication, recombination and repair
344	COG0324	tRNA modification	J	Translation, ribosomal structure and biogenesis
345	COG0325		H	Coenzyme transport and metabolism
346	COG0326		O	Posttranslational modification, protein turnover, chaperones
347	COG0327	Folate biosynthesis	H	Coenzyme transport and metabolism
348	COG0328		L	Replication, recombination and repair
349	COG0329	Lysine biosynthesis	E	Amino acid transport and metabolism
350	COG0329	Lysine biosynthesis	M	Cell wall/membrane/envelope biogenesis
351	COG0330		O	Posttranslational modification, protein turnover, chaperones
352	COG0331	Fatty acid biosynthesis	I	Lipid transport and metabolism
353	COG0332	Fatty acid biosynthesis	I	Lipid transport and metabolism
354	COG0333	Ribosome 50S subunit	J	Translation, ribosomal structure and biogenesis
355	COG0334	Glutamine biosynthesis	E	Amino acid transport and metabolism
356	COG0335	Ribosome 50S subunit	J	Translation, ribosomal structure and biogenesis
357	COG0336	tRNA modification	J	Translation, ribosomal structure and biogenesis
358	COG0337	Aromatic amino acid biosynthesis	E	Amino acid transport and metabolism
359	COG0338		L	Replication, recombination and repair
360	COG0339		O	Posttranslational modification, protein turnover, chaperones
361	COG0340	Biotin biosynthesis	H	Coenzyme transport and metabolism
362	COG0341		U	Intracellular trafficking, secretion, and vesicular transport
363	COG0342		U	Intracellular trafficking, secretion, and vesicular transport
364	COG0343	tRNA modification	J	Translation, ribosomal structure and biogenesis
365	COG0344		I	Lipid transport and metabolism
366	COG0345	Proline biosynthesis	E	Amino acid transport and metabolism
367	COG0346		Q	Secondary metabolites biosynthesis, transport and catabolism
368	COG0347		T	Signal transduction mechanisms
369	COG0347		E	Amino acid transport and metabolism
370	COG0348		C	Energy production and conversion
371	COG0349		J	Translation, ribosomal structure and biogenesis
372	COG0350		L	Replication, recombination and repair
373	COG0351	Thiamine biosynthesis	H	Coenzyme transport and metabolism
374	COG0352	Thiamine biosynthesis	H	Coenzyme transport and metabolism
375	COG0353		L	Replication, recombination and repair
376	COG0354		O	Posttranslational modification, protein turnover, chaperones
377	COG0355	FoF1-type ATP synthase	C	Energy production and conversion
378	COG0356	FoF1-type ATP synthase	C	Energy production and conversion
379	COG0357	16S rRNA modification	J	Translation, ribosomal structure and biogenesis
380	COG0358		L	Replication, recombination and repair
381	COG0359	Ribosome 50S subunit	J	Translation, ribosomal structure and biogenesis
382	COG0360	Ribosome 30S subunit	J	Translation, ribosomal structure and biogenesis
383	COG0361	Translation factors	J	Translation, ribosomal structure and biogenesis
384	COG0362	Pentose phosphate pathway	G	Carbohydrate transport and metabolism
385	COG0363	Pentose phosphate pathway	G	Carbohydrate transport and metabolism
386	COG0364	Pentose phosphate pathway	G	Carbohydrate transport and metabolism
387	COG0365		I	Lipid transport and metabolism
388	COG0366		G	Carbohydrate transport and metabolism
389	COG0367	Asparagine biosynthesis	E	Amino acid transport and metabolism
390	COG0368	Cobalamine/B12 biosynthesis	H	Coenzyme transport and metabolism
391	COG0369	Cysteine biosynthesis	F	Nucleotide transport and metabolism
392	COG0369	Cysteine biosynthesis	P	Inorganic ion transport and metabolism
393	COG0370		P	Inorganic ion transport and metabolism
394	COG0371	Isoprenoid biosynthesis	C	Energy production and conversion
395	COG0372	TCA cycle	C	Energy production and conversion
396	COG0373	Heme biosynthesis	H	Coenzyme transport and metabolism
397	COG0374		C	Energy production and conversion
398	COG0375		O	Posttranslational modification, protein turnover, chaperones
399	COG0376		P	Inorganic ion transport and metabolism
400	COG0377	NADH dehydrogenase	C	Energy production and conversion
401	COG0378		O	Posttranslational modification, protein turnover, chaperones
402	COG0379	NAD biosynthesis	H	Coenzyme transport and metabolism
403	COG0380		G	Carbohydrate transport and metabolism
404	COG0381		M	Cell wall/membrane/envelope biogenesis
405	COG0382	Ubiquinone biosynthesis	H	Coenzyme transport and metabolism
406	COG0383		G	Carbohydrate transport and metabolism
407	COG0384		R	General function prediction only
408	COG0385		R	General function prediction only
409	COG0386		V	Defense mechanisms
410	COG0386		I	Lipid transport and metabolism
411	COG0387		P	Inorganic ion transport and metabolism
412	COG0388		C	Energy production and conversion
413	COG0389		L	Replication, recombination and repair
414	COG0390		P	Inorganic ion transport and metabolism
415	COG0391		G	Carbohydrate transport and metabolism
416	COG0391		H	Coenzyme transport and metabolism
417	COG0392		M	Cell wall/membrane/envelope biogenesis
418	COG0393		S	Function unknown
419	COG0394		T	Signal transduction mechanisms
420	COG0395		G	Carbohydrate transport and metabolism
421	COG0396		O	Posttranslational modification, protein turnover, chaperones
422	COG0397		O	Posttranslational modification, protein turnover, chaperones
423	COG0398		S	Function unknown
424	COG0399		M	Cell wall/membrane/envelope biogenesis
425	COG0400		R	General function prediction only
426	COG0401		C	Energy production and conversion
427	COG0402	Pyrimidine salvage	F	Nucleotide transport and metabolism
428	COG0402	Pyrimidine salvage	R	General function prediction only
429	COG0403	Glycine cleavage	E	Amino acid transport and metabolism
430	COG0404	Glycine cleavage	E	Amino acid transport and metabolism
431	COG0405		E	Amino acid transport and metabolism
432	COG0406		G	Carbohydrate transport and metabolism
433	COG0407	Heme biosynthesis	H	Coenzyme transport and metabolism
434	COG0408	Heme biosynthesis	H	Coenzyme transport and metabolism
435	COG0409		O	Posttranslational modification, protein turnover, chaperones
436	COG0410		E	Amino acid transport and metabolism
437	COG0411		E	Amino acid transport and metabolism
438	COG0412		Q	Secondary metabolites biosynthesis, transport and catabolism
439	COG0413	Pantothenate/CoA biosynthesis	H	Coenzyme transport and metabolism
440	COG0414	Pantothenate/CoA biosynthesis	H	Coenzyme transport and metabolism
441	COG0415		L	Replication, recombination and repair
442	COG0416		I	Lipid transport and metabolism
443	COG0417		L	Replication, recombination and repair
444	COG0418	Pyrimidine biosynthesis	F	Nucleotide transport and metabolism
445	COG0419		L	Replication, recombination and repair
446	COG0420		L	Replication, recombination and repair
447	COG0421		E	Amino acid transport and metabolism
